2019-11-27, 20:51:18.971634400, INFO, GET /Sites -> http://localhost:8080
2019-11-27, 20:51:18.975635100, INFO, GET /Countries -> http://localhost:8080
2019-11-27, 20:51:18.975635100, INFO, GET /Types -> http://localhost:8080
2019-11-27, 20:51:18.975635100, INFO, GET /Susars -> http://localhost:8080
2019-11-27, 20:52:00.424135400, INFO, GET /Types -> http://localhost:8080
2019-11-27, 20:52:00.424135400, INFO, GET /Susars -> http://localhost:8080
2019-11-27, 20:52:00.424135400, INFO, GET /Sites -> http://localhost:8080
2019-11-27, 20:52:00.424135400, INFO, GET /Countries -> http://localhost:8080
2019-11-27, 20:52:00.424135400, INFO, GET /Studies -> http://localhost:8080
2019-11-27, 20:52:11.599623, INFO, GET /Studies -> http://localhost:8080
2019-11-27, 20:52:11.603623200, INFO, GET /Countries -> http://localhost:8080
2019-11-27, 20:52:11.603623200, INFO, GET /Sites -> http://localhost:8080
2019-11-27, 20:52:11.603623200, INFO, GET /Types -> http://localhost:8080
2019-11-27, 20:52:11.607624800, INFO, GET /Susars -> http://localhost:8080
2019-11-27, 20:52:19.477169300, INFO, GET /Susars -> http://localhost:8080
2019-11-27, 20:52:19.800951900, INFO, GET /Types -> http://localhost:8080
2019-11-27, 20:52:19.800951900, INFO, GET /Studies -> http://localhost:8080
2019-11-27, 20:52:19.804952200, INFO, GET /Countries -> http://localhost:8080
2019-11-27, 20:52:19.804952200, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:21:45.788409400, INFO, GET /Countries -> http://localhost:8080
2019-12-21, 20:21:45.788409400, INFO, GET /Types -> http://localhost:8080
2019-12-21, 20:21:45.790412100, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:21:45.790412100, INFO, GET /Studies -> http://localhost:8080
2019-12-21, 20:21:45.790412100, INFO, GET /Susars -> http://localhost:8080
2019-12-21, 20:21:58.767281200, INFO, GET /Studies -> http://localhost:8080
2019-12-21, 20:21:58.774285300, INFO, GET /Types -> http://localhost:8080
2019-12-21, 20:21:58.774285300, INFO, GET /Countries -> http://localhost:8080
2019-12-21, 20:21:58.774285300, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:21:58.775285600, INFO, GET /Susars -> http://localhost:8080
2019-12-21, 20:23:54.759094200, INFO, POST /Susars2 -> http://localhost:8080
2019-12-21, 20:23:54.883182200, INFO, GET /Susars -> http://localhost:8080
2019-12-21, 20:23:54.926214900, INFO, GET /Studies -> http://localhost:8080
2019-12-21, 20:23:54.929214500, INFO, GET /Countries -> http://localhost:8080
2019-12-21, 20:23:54.929214500, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:23:54.929214500, INFO, GET /Types -> http://localhost:8080
2019-12-21, 20:23:55.137363100, INFO, GET /Countries -> http://localhost:8080
2019-12-21, 20:23:55.270456300, INFO, GET /Studies -> http://localhost:8080
2019-12-21, 20:23:55.272458600, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:24:09.379494400, INFO, GET /Countries -> http://localhost:8080
2019-12-21, 20:24:09.395507400, INFO, GET /Studies -> http://localhost:8080
2019-12-21, 20:24:09.395507400, INFO, GET /Types -> http://localhost:8080
2019-12-21, 20:24:09.395507400, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:24:09.396509, INFO, GET /Susars -> http://localhost:8080
2019-12-21, 20:24:56.788958100, INFO, GET /Types -> http://localhost:8080
2019-12-21, 20:24:56.793960800, INFO, GET /Studies -> http://localhost:8080
2019-12-21, 20:24:56.793960800, INFO, GET /Countries -> http://localhost:8080
2019-12-21, 20:24:56.793960800, INFO, GET /Susars -> http://localhost:8080
2019-12-21, 20:24:56.794961900, INFO, GET /Sites -> http://localhost:8080
2019-12-21, 20:26:15.130137400, INFO, GET /Team -> http://localhost:8080
